展示最近9条实时数据。	select * from t_rt_data order by t_rt_data.Id desc limit 9 ;
实时数据表中最新的4个不同的采样时间分别是几点？	select distinct t_rt_data.Result_time from t_rt_data order by t_rt_data.Result_time desc limit 4 ;
实时数据表中最后两行的时间差是多少？	select timediff (  ( select t_rt_data.Result_time from t_rt_data order by t_rt_data.Id desc limit 1 ) , ( select t_rt_data.Result_time from t_rt_data order by t_rt_data.Id desc limit 1 , 1 )  ) ;
最近两条实时数据表中采集到的数据的时间差是多少？	select timediff (  ( select t_rt_data.Result_time from t_rt_data order by t_rt_data.Id desc limit 1 ) , ( select t_rt_data.Result_time from t_rt_data order by t_rt_data.Id desc limit 1 , 1 )  ) ;
最近2条位点V403压力的采样数据的采样时间差是多少？	select timediff (  ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PIC_40302' order by t_rt_data.Id desc limit 1 ) , ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PIC_40302' order by t_rt_data.Id desc limit 1 , 1 )  ) ;
最近2条位点待生斜管下部输送风流量的采样数据的采样时间差是多少？	select timediff (  ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_FC1102.PV' order by t_rt_data.Id desc limit 1 ) , ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_FC1102.PV' order by t_rt_data.Id desc limit 1 , 1 )  ) ;
位号油浆正常外甩流量（换前）的最新的2条实时数据的采样时间间隔是多少？	select timediff (  ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_FC2149.PV' order by t_rt_data.Id desc limit 1 ) , ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_FC2149.PV' order by t_rt_data.Id desc limit 1 , 1 )  ) ;
位号塔301底温度控制的最新的2条实时数据的采样时间间隔是多少？	select timediff (  ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC387.PV' order by t_rt_data.Id desc limit 1 ) , ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC387.PV' order by t_rt_data.Id desc limit 1 , 1 )  ) ;
最近1条采样数据的采样时间距离现在有多久了？	select timediff ( now ( ) , t_rt_data.Result_time ) from t_rt_data order by t_rt_data.Id desc limit 1 ;
实时数据表中最新的数据的采集时间距离现在有多久？	select timediff ( now ( ) , t_rt_data.Result_time ) from t_rt_data order by t_rt_data.Id desc limit 1 ;
从昨天中午3点到现在一共有多少条实时数据？	select count ( * ) from t_rt_data where t_rt_data.Result_time > addtime ( adddate ( curdate ( ) , - 1 ) , ' 3 : 0 ' ) ;
从昨天中午12点到现在一共有多少条实时数据？	select count ( * ) from t_rt_data where t_rt_data.Result_time > addtime ( adddate ( curdate ( ) , - 1 ) , ' 12 : 0 ' ) ;
自从昨天2点开始，实时数据表中新增了多少条数据了？	select count ( * ) from t_rt_data where t_rt_data.Result_time > addtime ( adddate ( curdate ( ) , - 1 ) , ' 2 : 0 ' ) ;
自从昨天8点开始，实时数据表中新增了多少条数据了？	select count ( * ) from t_rt_data where t_rt_data.Result_time > addtime ( adddate ( curdate ( ) , - 1 ) , ' 8 : 0 ' ) ;
实时数据库中总共有几个不同的位点？	select count ( distinct t_rt_data.Tag_code ) from t_rt_data ;
在实时采样数据表中，不同的位号有几个？	select count ( distinct t_rt_data.Tag_code ) from t_rt_data ;
展示过去28分钟V311压力的数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 28 ' ) and t_rt_data.Tag_code = '2B2LXCZ_0211PI_30102' ;
展示过去7分钟烟机入口蝶阀阀位的数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 7 ' ) and t_rt_data.Tag_code = '3B2CHLH_0202B_ZI010.PV' ;
展示过去5分钟待生滑阀阀位的数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 5 ' ) and t_rt_data.Tag_code = '3B2CHLH_0202B_ZI104.PV' ;
展示过去5分钟缓冲区料位的数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 5 ' ) and t_rt_data.Tag_code = '2B2LXCZ_0211LIC_30601' ;
前20分钟里位号稳定塔底气相压力指示的实时数据是什么样？	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 20 ' ) and t_rt_data.Tag_code = '3B2CHLH_0202B_PR394.PV' ;
前28分钟里位号循环油浆下返塔流量调节的实时数据是什么样？	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 28 ' ) and t_rt_data.Tag_code = '3B1CHLH_FIC372.PV' ;
前4分钟里位号E201进料端压差的实时数据是什么样？	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 4 ' ) and t_rt_data.Tag_code = '2B2LXCZ_0211PDI_20303' ;
前30分钟里位号再生外循环管密度的实时数据是什么样？	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 30 ' ) and t_rt_data.Tag_code = '3B1CHLH_DI225.PV' ;
今天采集的数据量到13了吗？	select ( select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) > 13 ;
今天采集的数据量到7了吗？	select ( select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) > 7 ;
今天新采到的实时数据条数超过9条了吗？	select ( select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) > 9 ;
今天新采到的实时数据条数超过12条了吗？	select ( select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) > 12 ;
今天的第1条数据是在几点采集到的？	select t_rt_data.Result_time from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id asc limit 1 ;
今天实时数据的第1条的采集时间是几点？	select t_rt_data.Result_time from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id asc limit 1 ;
今天总共有多少个位点采集到了数据？	select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
实时数据表中今天采集到的数据来自多少个位点？	select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
今天采集到数据的变量和22天前的一样多吗？	select ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) = ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 22 )  ) ;
今天采集到数据的变量和14天前的一样多吗？	select ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) = ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 14 )  ) ;
实时数据表中，今天和29天前有数据记录的变量数量是否相同？	select ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) = ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 29 )  ) ;
实时数据表中，今天和19天前有数据记录的变量数量是否相同？	select ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) = ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 19 )  ) ;
E106出口温度最近一个采样值是多少？	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_11003' order by t_rt_data.Id desc limit 1 ;
辅助燃烧炉至R202入口最近一个采样值是多少？	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI2226A.PV' order by t_rt_data.Id desc limit 1 ;
F101瓦斯流量现在是多少？	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_11301' order by t_rt_data.Id desc limit 1 ;
反应油气至分馏塔压力现在是多少？	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_PI371.PV' order by t_rt_data.Id desc limit 1 ;
请帮我看看F201瓦斯流量的值现在是什么。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_22001' order by t_rt_data.Id desc limit 1 ;
请帮我看看V303与R301压差的值现在是什么。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PDI_30802A' order by t_rt_data.Id desc limit 1 ;
调取一下当前塔202顶压力限压调节(南）的数值。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_PIC220A.PV' order by t_rt_data.Id desc limit 1 ;
调取一下当前轻烃闪蒸罐压控的数值。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_PIC704.PV' order by t_rt_data.Id desc limit 1 ;
再生器二密相藏量调节这个变量最近一次记录到数值是什么时候？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_WIC222.PV' order by t_rt_data.Id desc limit 1 ;
R101反应进料量这个变量最近一次记录到数值是什么时候？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_10401' order by t_rt_data.Id desc limit 1 ;
位号再生循环气氧含量的最新一条实时数据是几点采集到的？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211AIC_30602A' order by t_rt_data.Id desc limit 1 ;
位号F101氧含量的最新一条实时数据是几点采集到的？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211AI_11301' order by t_rt_data.Id desc limit 1 ;
7个小时内有多少个再生器二密相藏量调节的数据记录？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_WIC222.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 7 : 0 ' ) ;
120个小时内有多少个急冷油喷嘴下部温度的数据记录？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI234.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 120 : 0 ' ) ;
108个小时内有多少个F204瓦斯流量的数据记录？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_22201' and t_rt_data.Result_time > addtime ( now ( ) , ' - 108 : 0 ' ) ;
84个小时内有多少个塔301顶温度调节的数据记录？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC303.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 84 : 0 ' ) ;
位号解吸塔液位调节在最近1小时内有多少条新的实时数据？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_LIC403.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 7 : 0 ' ) ;
位号H305出口温度在最近1小时内有多少条新的实时数据？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TIC_30106' and t_rt_data.Result_time > addtime ( now ( ) , ' - 84 : 0 ' ) ;
位号进T201反应油气温度在最近1小时内有多少条新的实时数据？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI206.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 7 : 0 ' ) ;
位号V329出口至上部注氧流量在最近1小时内有多少条新的实时数据？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FI_31001' and t_rt_data.Result_time > addtime ( now ( ) , ' - 9 : 0 ' ) ;
告诉我昨天汽提段藏量的最大的3个值是多少。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_WCA101.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value desc limit 3 ;
告诉我昨天原料油至提升管喷嘴温度的最大的1个值是多少。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI278.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value desc limit 1 ;
告诉我昨天二密相上部温度的最大的1个值是多少。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TRA136.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value desc limit 1 ;
告诉我昨天再生器压力的最大的200个值是多少。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_PCA101A.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value desc limit 200 ;
昨天沉降器顶温度指示的实时数据中最大的9个值分别是多少？	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI104A.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value desc limit 9 ;
昨天重整氢油摩尔比的实时数据中最大的6个值分别是多少？	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211MLBI_20302' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value desc limit 6 ;
昨天C304出口流量的实时数据中最大的1个值分别是多少？	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_30501' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value desc limit 1 ;
昨天V311床层温度的实时数据中最大的100个值分别是多少？	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_30109' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value desc limit 100 ;
最近42分钟循环氢流量的均值是多少？	select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FI_20302' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 42 ' ) ;
最近41分钟T102塔底温度的均值是多少？	select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_11104' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 41 ' ) ;
最近24分钟R202出口温度的均值是多少？	select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_20202' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 24 ' ) ;
最近12分钟外循环管滑阀阀位的均值是多少？	select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_ZI105.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 12 ' ) ;
E212出口温度在最近25分钟内实时数据的平均值是多少？	select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_21602' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 25 ' ) ;
二再密相温度控制在最近19分钟内实时数据的平均值是多少？	select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC224.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 19 ' ) ;
吸收塔二中回流温度在最近9分钟内实时数据的平均值是多少？	select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI413.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 9 ' ) ;
T304顶出口气温度指示在最近18分钟内实时数据的平均值是多少？	select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI319.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 18 ' ) ;
前24分钟里，F201氧含量的最大值是多少？	select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211AI_21901' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 24 ' ) ;
前6分钟里，T304底重沸器气相返塔温度的最大值是多少？	select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TC302.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 6 ' ) ;
前50分钟里，V311压力的最大值是多少？	select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PI_30102' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 50 ' ) ;
前3分钟里，原料油至提升管喷嘴温度的最大值是多少？	select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI278.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 3 ' ) ;
最近18分钟内吸收塔补充吸收剂流量调节的最大采样值是多少？	select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_FIC403.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 18 ' ) ;
最近10分钟内C202二段出口压力的最大采样值是多少？	select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PI_20805' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 10 ' ) ;
最近19分钟内省煤器出口除氧水温度的最大采样值是多少？	select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI708.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 19 ' ) ;
最近26分钟内F201瓦斯流量的最大采样值是多少？	select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_22001' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 26 ' ) ;
昨天变量稳定塔底重沸器温度调节的均值和今天的平均值相差多少？	select ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC402.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) - ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC402.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) 
昨天变量F102返塔温度的均值和今天的平均值相差多少？	select ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_10907' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) - ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_10907' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) 
塔701乙醇胺流量控制在昨天的实时数据均值和今天的均值的差值是多少？	select ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_FIC701A.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) - ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_FIC701A.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) 
二反上部温度在昨天的实时数据均值和今天的均值的差值是多少？	select ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI1104.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) - ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI1104.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) 
T304底汽油抽出温度指示最近27天的实时数据中，里面有多少条超过了这27天的平均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI302_3.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 27 ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI302_3.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 27 )  ) ;
F102炉出口总温度最近4天的实时数据中，里面有多少条超过了这4天的平均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TIC_10906' and t_rt_data.Result_time > adddate ( curdate ( ) , - 4 ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TIC_10906' and t_rt_data.Result_time > adddate ( curdate ( ) , - 4 )  ) ;
V322提升管压差最近4天的实时数据中，里面有多少条超过了这4天的平均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PDI_30501' and t_rt_data.Result_time > adddate ( curdate ( ) , - 4 ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PDI_30501' and t_rt_data.Result_time > adddate ( curdate ( ) , - 4 )  ) ;
T102进料量最近16天的实时数据中，里面有多少条超过了这16天的平均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_11101' and t_rt_data.Result_time > adddate ( curdate ( ) , - 16 ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_11101' and t_rt_data.Result_time > adddate ( curdate ( ) , - 16 )  ) ;
最近2天的采样数据中，进T201反应油气温度有多少条记录超过了进T201反应油气温度在这段时间内的均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI206.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 2 ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI206.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 2 )  ) ;
最近11天的采样数据中，V317料位有多少条记录超过了V317料位在这段时间内的均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211LIC_30301' and t_rt_data.Result_time > adddate ( curdate ( ) , - 11 ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211LIC_30301' and t_rt_data.Result_time > adddate ( curdate ( ) , - 11 )  ) ;
最近29天的采样数据中，吸收塔一中回流流量有多少条记录超过了吸收塔一中回流流量在这段时间内的均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_FI404.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 29 ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_FI404.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 29 )  ) ;
最近30天的采样数据中，分馏塔底油浆出口温度有多少条记录超过了分馏塔底油浆出口温度在这段时间内的均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI336.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 30 ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI336.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 30 )  ) ;
以待生斜管密度在过去96小时数据的平均值为基准，最近25分钟里有多少条数据超过了这个均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_DI226.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' 0 : 25 ' ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_DI226.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 96 : 0 ' )  ) ;
