请告诉我最近49分钟的所有实时数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 49 ' ) ;
上96个小时容402压力控制在几时取到了最大值？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_PIC403.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 96 : 0 ' ) order by t_rt_data.Result_value desc limit 1 ;
昨天什么时候T304液位指示调节有最小值？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_LC305.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value asc limit 1 ;
昨天几点的时候循环氢流量最接近它昨天一整天的平均值？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FI_20302' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value - ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FI_20302' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) asc limit 1 ;
列出今天早上3点到10点均值超过20的变量。	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 3 : 0 ' ) and addtime ( curdate ( ) , ' 10 : 0 ' ) group by t_rt_data.Tag_code having avg ( t_rt_data.Result_value ) > 20 ;
昨天有多少个变量发生过没有记录到值的情况？	select count ( t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) and t_rt_data.Result_value is null group by t_rt_data.Tag_code ;
昨天早上7点到7点57分有哪些变量有缺失值？	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time between addtime ( adddate ( curdate ( ) , - 1 ) , ' 7 : 0 ' ) and addtime ( adddate ( curdate ( ) , - 1 ) , ' 7 : 57 ' ) and t_rt_data.Result_value is null ;
今天几点几分的时候，V317料位第一次超过了14？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211LIC_30301' and date ( t_rt_data.Result_time ) = curdate ( ) and t_rt_data.Result_value > 14 order by t_rt_data.Id asc limit 1 ;
今天什么时候待生滑阀前温度这个变量发生了第一次缺失值？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI1112.PV' and date ( t_rt_data.Result_time ) = curdate ( ) and t_rt_data.Result_value is null order by t_rt_data.Id asc limit 1 ;
列举今天外循环管滑阀阀位没有记录到数值的时刻。	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_ZI105.PV' and date ( t_rt_data.Result_time ) = curdate ( ) and t_rt_data.Result_value is null ;
过去4小时中，预提升混合器内外腔压降记录最大的1个记录具体是什么时候记录到的，时间和值分别是多少？	select t_rt_data.Result_time , t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_PDTN102.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 4 : 0 ' ) order by t_rt_data.Result_value desc limit 1 ;
前天沉降器顶温度指示取到最大值的时候，E201进料端出口温度的值是多少？ 	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_20302' and t_rt_data.Result_time = ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI104A.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 2 ) order by t_rt_data.Result_value desc limit 1 ) ;
查询今天分馏塔底液相温度取到最小值时前后各27分钟的所有分馏塔底液相温度的数据。	select * from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI284.PV' and t_rt_data.Result_time between addtime (  ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI284.PV' and date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Result_value asc limit 1 ) , ' - 0 : 27 ' ) and addtime (  ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI284.PV' and date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Result_value limit 1 ) , ' 0 : 27 ' ) ;
有多少个变量在过去34分钟里采集到了值为0的数据？	select count ( * ) from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 34 ' ) and t_rt_data.Result_value = 0 group by t_rt_data.Tag_code having count ( * ) != 0 ;
最近11个小时内，E101壳程总出口温度这个变量有多少采集到了值不是0的数据点？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_10401' and t_rt_data.Result_time > addtime ( now ( ) , ' - 11 : 0 ' ) and t_rt_data.Result_value != 0 ;
最近13天内沉降器(R201)油气出口温度这个变量有多少采集到了值是0的数据点？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI210.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 13 ) and t_rt_data.Result_value = 0 ;
最近14分钟里有多少位号发生过报警？	select count ( distinct t_rt_data.Tag_code ) from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 14 ' ) and t_rt_data.Alarm_status != 0 ;
84小时内有哪些变量有报警？	select distinct t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 84 : 0 ' ) and t_rt_data.Alarm_status != 0 ;
考虑数据库里的所有数据，按发生报警的次数由少到多给位号排序。	select t_rt_data.Tag_code from t_rt_data group by t_rt_data.Tag_code order by sum ( t_rt_data.Alarm_status != 0 ) asc ;
告诉我所有变量中在过去96小时内报警次数最多的变量。	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 96 : 0 ' ) group by t_rt_data.Tag_code order by sum ( t_rt_data.Alarm_status != 0 ) asc limit 1 ;
从今天12点到现在，有哪些变量没有发生过报警？	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time > addtime ( curdate ( ) , ' 12 : 0 ' ) group by t_rt_data.Tag_code having sum ( t_rt_data.Alarm_status != 0 ) = 0 ;
哪些变量在今天发生报警的次数大于9但又小于13？	select t_rt_data.Tag_code from t_rt_data group by t_rt_data.Tag_code having sum ( t_rt_data.Alarm_status != 0 ) between 9 and 13 ;
告诉我从10小时前到现在，报警次数最多的变量和它的报警次数。	select t_rt_data.Tag_code , sum ( t_rt_data.Alarm_status != 0 ) from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 10 : 0 ' ) group by t_rt_data.Tag_code order by sum ( t_rt_data.Alarm_status != 0 ) desc limit 1 ;
返回从21天前至今报警次数为0的变量。	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 21 ) group by t_rt_data.Tag_code having sum ( t_rt_data.Alarm_status != 0 ) = 0 ;
有哪些变量今天发生过报警，昨天也有过报警？	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Alarm_status != 0 group by t_rt_data.Tag_code having sum ( date ( t_rt_data.Result_time ) = curdate ( )  ) != 0 and sum ( date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) != 0 ;
R102入口压力这个变量上一次报警是什么时候？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PI_10302' and t_rt_data.Alarm_status != 0 order by t_rt_data.Id desc limit 1 ;
今天报警次数最多的变量是哪个？	select t_rt_data.Tag_code from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) group by t_rt_data.Tag_code order by sum ( t_rt_data.Alarm_status != 0 ) desc limit 1 ;
哪些位号在历史数据中从未出现过报警？	select t_rt_data.Tag_code from t_rt_data group by t_rt_data.Tag_code having sum ( t_rt_data.Alarm_status != 0 ) = 0 ;
稳定塔塔顶回流流量调节在过去45分钟里有过几次报警？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_FIC407A.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 45 ' ) and t_rt_data.Alarm_status != 0 ;
昨天总共发生了几起报警？	select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) and t_rt_data.Alarm_status != 0 ;
最近16天内，每个位号发生过几次报警？	select count ( * ) from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 16 ) and t_rt_data.Alarm_status != 0 group by t_rt_data.Tag_code ;
请告诉我哪些变量最近1次采集的数据发生了报警。	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Id in ( select max ( t_rt_data.Id ) from t_rt_data group by t_rt_data.Tag_code ) and t_rt_data.Alarm_status != 0 ;
近2天内报警次数前100多的变量是哪些？	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 2 ) group by t_rt_data.Tag_code order by sum ( t_rt_data.Alarm_status != 0 ) desc limit 100 ;
有没有报警状态是空的采样点，它的位号和采样时间是多少？	select t_rt_data.Tag_code , t_rt_data.Result_time from t_rt_data where t_rt_data.Alarm_status is null ;
在数据库中，报警状态不是0或1或2的记录一共有几条？	select count ( * ) from t_rt_data where t_rt_data.Alarm_status not in ( 0 , 1 , 2 ) ;
主风机出口压力从1天前至今，发生过的报警分别在什么时候？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_PIA004.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 1 ) and t_rt_data.Alarm_status != 0 ;
在历史数据中，分馏塔-301底油浆液相温度第1次发生报警的时间是什么时候？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI388.PV' and t_rt_data.Alarm_status != 0 order by t_rt_data.Id asc limit 1 ;
位号吸收塔一中回流温度从今天7点至今报警次数是多少？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI412.PV' and t_rt_data.Result_time > addtime ( curdate ( ) , ' 7 : 0 ' ) and t_rt_data.Alarm_status != 0 ;
返回给我最近1次采集到数据发生报警的数据。	select * from t_rt_data where t_rt_data.Alarm_status != 0 order by t_rt_data.Id desc limit 1 ;
最近8次报警分别是哪些位号？	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Alarm_status != 0 order by t_rt_data.Id desc limit 8 ;
告诉我最近2小时内发生过高报但没有发生过低报的位号。	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 2 : 0 ' ) group by t_rt_data.Tag_code having sum ( t_rt_data.Alarm_status = 2 ) != 0 and sum ( t_rt_data.Alarm_status = 1 ) = 0 ;
有哪些变量在最近12小时内的数据全部是报警？	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 12 : 0 ' ) group by t_rt_data.Tag_code having sum ( t_rt_data.Alarm_status = 0 ) = 0 ;
哪些位号的最近1次采集到的数据发生了高报？	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Id in ( select max ( t_rt_data.Id ) from t_rt_data group by t_rt_data.Tag_code ) and t_rt_data.Alarm_status = 2 ;
哪些变量在最近84小时内又发生过低报又有过高报？	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 84 : 0 ' ) group by t_rt_data.Tag_code having sum ( t_rt_data.Alarm_status = 1 ) != 0 and sum ( t_rt_data.Alarm_status = 2 ) != 0 ;
哪些变量从没有过低报？	select t_rt_data.Tag_code from t_rt_data group by t_rt_data.Tag_code having sum ( t_rt_data.Alarm_status = 1 ) = 0 ;
哪些变量在历史数据里没有过高报？	select t_rt_data.Tag_code from t_rt_data group by t_rt_data.Tag_code having sum ( t_rt_data.Alarm_status = 2 ) = 0 ;
哪些变量又有高报又有低报的记录？	select t_rt_data.Tag_code from t_rt_data group by t_rt_data.Tag_code having sum ( t_rt_data.Alarm_status = 1 ) != 0 and sum ( t_rt_data.Alarm_status = 2 ) != 0 ;
最近4分钟的数据里，总共有多少个不同的位号发生了高报？	select count ( distinct t_rt_data.Tag_code ) from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 4 ' ) and t_rt_data.Alarm_status != 0 ;
统计昨天的报警数量。	select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) and t_rt_data.Alarm_status != 0 group by t_rt_data.Alarm_status ;
最近一个发生高报警的变量是哪个？	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Alarm_status = 2 order by t_rt_data.Id desc limit 1 ;
哪些位点在最近48分钟里发生了低报？	select distinct t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 48 ' ) and t_rt_data.Alarm_status = 1 ;
把所有位点按120小时内发生低报的次数从少到多排序。	select t_rt_data.Tag_code from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 120 : 0 ' ) group by t_rt_data.Tag_code order by sum ( t_rt_data.Alarm_status = 1 ) asc ;
统计昨天所有出现过高报的变量的报警次数。	select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) and t_rt_data.Alarm_status = 2 group by t_rt_data.Tag_code ;
吸收塔补充吸收剂流量调节在今天发生过几次低报？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_FIC403.PV' and date ( t_rt_data.Result_time ) = curdate ( ) and t_rt_data.Alarm_status = 1 ;
烟机入口再生压力和T101液位在过去5小时里总共有多少次高报？	select count ( * ) from t_rt_data where t_rt_data.Tag_code in ( '3B1CHLH_PI5101.PV' , '2B2LXCZ_0211LIC_10901' ) and t_rt_data.Result_time > addtime ( now ( ) , ' - 5 : 0 ' ) ;
总共有多少种不同的报警状态？	select distinct t_rt_data.Alarm_status from t_rt_data ;
T201三十一塔板液相温度指示最后一次发生报警是在什么时候？ 	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI214.PV' and t_rt_data.Alarm_status != 0 ;
换306后蜡油温控最近发生高报的4条记录的数据编号是多少？	select t_rt_data.Id from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC353.PV' and t_rt_data.Alarm_status = 2 order by t_rt_data.Id desc limit 4 ;
一共有多少个装置？	select count ( distinct t_rt_info.Unit_code ) from t_rt_info ;
有哪些装置？	select distinct t_rt_info.Unit_code from t_rt_info ;
总共有哪些变量？	select * from t_rt_info ;
所有位号的名字分别是什么？	select t_rt_info.Tag_code from t_rt_info ;
装置二号催化有哪些变量？	select * from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' ;
所有装置一共有多少个变量？	select count ( t_rt_info.Tag_code ) from t_rt_info ;
展示数据库里所有的位号名，按不同的装置排序。	select t_rt_info.Tag_code from t_rt_info order by t_rt_info.Unit_code ;
展示数据库里所有的位号名，按名字升序排列。	select t_rt_info.Tag_code from t_rt_info order by t_rt_info.Tag_code ;
请查询所有装置的名字，按名字升序排列。	select t_rt_info.Unit_code from t_rt_info order by t_rt_info.Unit_code ;
装置催化装置二里有几个变量？	select count ( t_rt_info.Tag_code ) from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' ;
数据库里的装置分别有多少个位点？	select count ( t_rt_info.Tag_code ) from t_rt_info group by t_rt_info.Unit_code ;
列出数据库里装置重整装置的所有位号名字，按名字降序排列。	select t_rt_info.Tag_code from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' order by t_rt_info.Tag_code desc ;
展示所有的关键变量的详细信息。	select * from t_rt_info where t_rt_info.Key_tag = 1 ;
装置2#连续重整装置里有哪些变量是关键变量？	select * from t_rt_info where t_rt_info.Unit_code = '2B2LXCZ' and t_rt_info.Key_tag = 1 ;
对于装置一号催化裂化装置，关键变量和非关键变量分别有多少个？	select count ( * ) from t_rt_info where t_rt_info.Unit_code = '3B1CHLH' group by t_rt_info.Key_tag ;
统计一下所有的变量里关键变量和非关键变量的个数。	select count ( * ) from t_rt_info group by t_rt_info.Key_tag ;
总共有多少个关键报警位号？	select count ( * ) from t_rt_info where t_rt_info.Key_tag = 1 ;
将装置按照拥有的关键报警数量从多到少排序。	select t_rt_info.Unit_code from t_rt_info group by t_rt_info.Unit_code order by sum ( t_rt_info.Key_tag = 1 ) desc ;
返回装置2#催化裂化装置的所有变量，按是否是关键报警变量分组。	select * from t_rt_info where t_rt_info.Unit_code = '3B2CHLH' order by t_rt_info.Key_tag ;
有哪些装置有超过17个关键报警？	select t_rt_info.Unit_code from t_rt_info where t_rt_info.Key_tag = 1 group by t_rt_info.Unit_code having count ( * ) > 17 ;
数据库里有多少个变量给定了报警下限？	select count ( * ) from t_rt_info where t_rt_info.Lower_limit is not null ;
数据库里的变量有多少有规定的高报数值？	select count ( * ) from t_rt_info where t_rt_info.Upper_limit is not null ;
有多少变量有低报阈值但没有高报阈值？	select count ( * ) from t_rt_info where t_rt_info.Lower_limit is not null and t_rt_info.Upper_limit is null ;
装置一号催化裂化装置里有哪些变量有高高报阈值？	select * from t_rt_info where t_rt_info.Unit_code = '3B1CHLH' and t_rt_info.UUpper_limit is not null ;
