请告诉我最近49分钟的所有实时数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 49 ' ) ;
最近200次不同的采样时间分别是几点？	select distinct t_rt_data.Result_time from t_rt_data order by t_rt_data.Result_time desc limit 200 ;
最近6次不同的采样时间分别是几点？	select distinct t_rt_data.Result_time from t_rt_data order by t_rt_data.Result_time desc limit 6 ;
实时数据表中最后两行的时间差是多少？	select timediff (  ( select t_rt_data.Result_time from t_rt_data order by t_rt_data.Id desc limit 1 ) , ( select t_rt_data.Result_time from t_rt_data order by t_rt_data.Id desc limit 1 , 1 )  ) ;
最近2条位点V403压力的采样数据的采样时间差是多少？	select timediff (  ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PIC_40302' order by t_rt_data.Id desc limit 1 ) , ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PIC_40302' order by t_rt_data.Id desc limit 1 , 1 )  ) ;
最近2条位点待生斜管下部输送风流量的采样数据的采样时间差是多少？	select timediff (  ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_FC1102.PV' order by t_rt_data.Id desc limit 1 ) , ( select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_FC1102.PV' order by t_rt_data.Id desc limit 1 , 1 )  ) ;
最近1条采样数据的采样时间距离现在有多久了？	select timediff ( now ( ) , t_rt_data.Result_time ) from t_rt_data order by t_rt_data.Id desc limit 1 ;
今天早上2点以后的第3个实时数据是几点采集到的？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Result_time > addtime ( curdate ( ) , ' 2 : 0 ' ) limit 3 , 1 ;
今天早上12点以后的第4个实时数据是几点采集到的？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Result_time > addtime ( curdate ( ) , ' 12 : 0 ' ) limit 4 , 1 ;
今天早上1点以后的第100个实时数据是几点采集到的？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Result_time > addtime ( curdate ( ) , ' 1 : 0 ' ) limit 100 , 1 ;
今天早上11点以后的第9个实时数据是几点采集到的？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Result_time > addtime ( curdate ( ) , ' 11 : 0 ' ) limit 9 , 1 ;
请展示昨天的最后2条实时数据。	select * from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Id desc limit 2 ;
请展示昨天的最后7条实时数据。	select * from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Id desc limit 7 ;
请告诉我前天的最后2个不同的采样时间点。	select distinct t_rt_data.Result_time from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 2 ) order by t_rt_data.Result_time desc limit 2 ;
请告诉我前天的最后1个不同的采样时间点。	select distinct t_rt_data.Result_time from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 2 ) order by t_rt_data.Result_time desc limit 1 ;
从昨天中午3点到现在一共有多少条实时数据？	select count ( * ) from t_rt_data where t_rt_data.Result_time > addtime ( adddate ( curdate ( ) , - 1 ) , ' 3 : 0 ' ) ;
从昨天中午12点到现在一共有多少条实时数据？	select count ( * ) from t_rt_data where t_rt_data.Result_time > addtime ( adddate ( curdate ( ) , - 1 ) , ' 12 : 0 ' ) ;
实时数据库中总共有几个不同的位点？	select count ( distinct t_rt_data.Tag_code ) from t_rt_data ;
前天和昨天采集到的数据一样多吗？	select ( select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 2 )  ) = ( select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) 
今天一共采集了多少数据？	select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
展示过去28分钟V311压力的数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 28 ' ) and t_rt_data.Tag_code = '2B2LXCZ_0211PI_30102' ;
展示过去7分钟烟机入口蝶阀阀位的数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 7 ' ) and t_rt_data.Tag_code = '3B2CHLH_0202B_ZI010.PV' ;
展示过去5分钟待生滑阀阀位的数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 5 ' ) and t_rt_data.Tag_code = '3B2CHLH_0202B_ZI104.PV' ;
展示过去5分钟缓冲区料位的数据。	select * from t_rt_data where t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 5 ' ) and t_rt_data.Tag_code = '2B2LXCZ_0211LIC_30601' ;
今天采集的数据量到13了吗？	select ( select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) > 13 ;
今天采集的数据量到7了吗？	select ( select count ( * ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) > 7 ;
今天有多少不同时间采集的数据？	select count ( distinct t_rt_data.Result_time ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
今天的第1条数据是在几点采集到的？	select t_rt_data.Result_time from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id asc limit 1 ;
最近19天内总的实时数据数目有没有6条？	select ( select count ( * ) from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 19 )  ) > 6 ;
最近23天内总的实时数据数目有没有7条？	select ( select count ( * ) from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 23 )  ) > 7 ;
最近25天内总的实时数据数目有没有2条？	select ( select count ( * ) from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 25 )  ) > 2 ;
最近26天内总的实时数据数目有没有6条？	select ( select count ( * ) from t_rt_data where t_rt_data.Result_time > adddate ( curdate ( ) , - 26 )  ) > 6 ;
今天总共有多少个位点采集到了数据？	select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( ) ;
今天采集到数据的变量和22天前的一样多吗？	select ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) = ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 22 )  ) ;
今天采集到数据的变量和14天前的一样多吗？	select ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = curdate ( )  ) = ( select count ( distinct t_rt_data.Tag_code ) from t_rt_data where date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 14 )  ) ;
今天5点到7点和7点到11点采集到的数据一样多吗？	select ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 5 : 0 ' ) and addtime ( curdate ( ) , ' 7 : 0 ' )  ) = ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 7 : 0 ' ) and addtime ( curdate ( ) , ' 11 : 0 ' )  ) ;
今天1点到2点和2点到8点采集到的数据一样多吗？	select ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 1 : 0 ' ) and addtime ( curdate ( ) , ' 2 : 0 ' )  ) = ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 2 : 0 ' ) and addtime ( curdate ( ) , ' 8 : 0 ' )  ) ;
今天3点到5点和5点到9点采集到的数据一样多吗？	select ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 3 : 0 ' ) and addtime ( curdate ( ) , ' 5 : 0 ' )  ) = ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 5 : 0 ' ) and addtime ( curdate ( ) , ' 9 : 0 ' )  ) ;
今天5点到6点和6点到10点采集到的数据一样多吗？	select ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 5 : 0 ' ) and addtime ( curdate ( ) , ' 6 : 0 ' )  ) = ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 6 : 0 ' ) and addtime ( curdate ( ) , ' 10 : 0 ' )  ) ;
今天3点到5点和5点到7点采集到的数据一样多吗？	select ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 3 : 0 ' ) and addtime ( curdate ( ) , ' 5 : 0 ' )  ) = ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 5 : 0 ' ) and addtime ( curdate ( ) , ' 7 : 0 ' )  ) ;
今天1点到2点和2点到10点采集到的数据一样多吗？	select ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 1 : 0 ' ) and addtime ( curdate ( ) , ' 2 : 0 ' )  ) = ( select count ( * ) from t_rt_data where t_rt_data.Result_time between addtime ( curdate ( ) , ' 2 : 0 ' ) and addtime ( curdate ( ) , ' 10 : 0 ' )  ) ;
E106出口温度最近一个采样值是多少？	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_11003' order by t_rt_data.Id desc limit 1 ;
辅助燃烧炉至R202入口最近一个采样值是多少？	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI2226A.PV' order by t_rt_data.Id desc limit 1 ;
请帮我看看F201瓦斯流量的值现在是什么。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_22001' order by t_rt_data.Id desc limit 1 ;
请帮我看看V303与R301压差的值现在是什么。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PDI_30802A' order by t_rt_data.Id desc limit 1 ;
再生器二密相藏量调节这个变量最近一次记录到数值是什么时候？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_WIC222.PV' order by t_rt_data.Id desc limit 1 ;
R101反应进料量这个变量最近一次记录到数值是什么时候？	select t_rt_data.Result_time from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_10401' order by t_rt_data.Id desc limit 1 ;
7个小时内有多少个再生器二密相藏量调节的数据记录？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_WIC222.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 7 : 0 ' ) ;
120个小时内有多少个急冷油喷嘴下部温度的数据记录？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI234.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 120 : 0 ' ) ;
108个小时内有多少个F204瓦斯流量的数据记录？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_22201' and t_rt_data.Result_time > addtime ( now ( ) , ' - 108 : 0 ' ) ;
84个小时内有多少个塔301顶温度调节的数据记录？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC303.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 84 : 0 ' ) ;
请查询今天T101底温的前2条记录。	select * from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_10904' and date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id limit 2 ;
请查询今天V321隔离氮气流量的前7条记录。	select * from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_30403' and date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id limit 7 ;
请查询今天外取热器下部温度的前2条记录。	select * from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI243.PV' and date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id limit 2 ;
请查询今天V101液位的前5条记录。	select * from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211LIC_10102' and date ( t_rt_data.Result_time ) = curdate ( ) order by t_rt_data.Id limit 5 ;
告诉我昨天汽提段藏量的最大的3个值是多少。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_WCA101.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value desc limit 3 ;
告诉我昨天原料油至提升管喷嘴温度的最大的1个值是多少。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI278.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value desc limit 1 ;
告诉我昨天二密相上部温度的最大的1个值是多少。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TRA136.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value desc limit 1 ;
告诉我昨天再生器压力的最大的200个值是多少。	select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_PCA101A.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 ) order by t_rt_data.Result_value desc limit 200 ;
最近42分钟循环氢流量的均值是多少？	select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FI_20302' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 42 ' ) ;
最近41分钟T102塔底温度的均值是多少？	select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_11104' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 41 ' ) ;
最近24分钟R202出口温度的均值是多少？	select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_20202' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 24 ' ) ;
最近12分钟外循环管滑阀阀位的均值是多少？	select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_ZI105.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 12 ' ) ;
前24分钟里，F201氧含量的最大值是多少？	select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211AI_21901' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 24 ' ) ;
前6分钟里，T304底重沸器气相返塔温度的最大值是多少？	select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TC302.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 6 ' ) ;
前50分钟里，V311压力的最大值是多少？	select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PI_30102' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 50 ' ) ;
前3分钟里，原料油至提升管喷嘴温度的最大值是多少？	select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI278.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 0 : 3 ' ) ;
昨天变量稳定塔底重沸器温度调节的均值和今天的平均值相差多少？	select ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC402.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) - ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC402.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) 
昨天变量F102返塔温度的均值和今天的平均值相差多少？	select ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_10907' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) - ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_10907' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) 
最近10天采集到的数据里，总共有多少条关于循环油浆上返塔流量调节的数据？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_FIC371.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 10 ) ;
最近28天采集到的数据里，总共有多少条关于R204出口温度的数据？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_20204' and t_rt_data.Result_time > adddate ( curdate ( ) , - 28 ) ;
最近24天采集到的数据里，总共有多少条关于再生斜管滑阀压降控制的数据？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_PDIC217.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 24 ) ;
最近10天采集到的数据里，总共有多少条关于R102入口压力的数据？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PI_10302' and t_rt_data.Result_time > adddate ( curdate ( ) , - 10 ) ;
T304底汽油抽出温度指示最近27天的实时数据中，里面有多少条超过了这27天的平均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI302_3.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 27 ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TI302_3.PV' and t_rt_data.Result_time > adddate ( curdate ( ) , - 27 )  ) ;
F102炉出口总温度最近4天的实时数据中，里面有多少条超过了这4天的平均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TIC_10906' and t_rt_data.Result_time > adddate ( curdate ( ) , - 4 ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TIC_10906' and t_rt_data.Result_time > adddate ( curdate ( ) , - 4 )  ) ;
V322提升管压差最近4天的实时数据中，里面有多少条超过了这4天的平均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PDI_30501' and t_rt_data.Result_time > adddate ( curdate ( ) , - 4 ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211PDI_30501' and t_rt_data.Result_time > adddate ( curdate ( ) , - 4 )  ) ;
T102进料量最近16天的实时数据中，里面有多少条超过了这16天的平均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_11101' and t_rt_data.Result_time > adddate ( curdate ( ) , - 16 ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_11101' and t_rt_data.Result_time > adddate ( curdate ( ) , - 16 )  ) ;
以待生斜管密度在过去96小时数据的平均值为基准，最近25分钟里有多少条数据超过了这个均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_DI226.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' 0 : 25 ' ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_DI226.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 96 : 0 ' )  ) ;
以原料雾化蒸汽流量在过去3小时数据的平均值为基准，最近5分钟里有多少条数据超过了这个均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_FC1103.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' 0 : 5 ' ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_FC1103.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 3 : 0 ' )  ) ;
以再生器R202顶部一旋入口在过去8小时数据的平均值为基准，最近48分钟里有多少条数据超过了这个均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI222A.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' 0 : 48 ' ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI222A.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 8 : 0 ' )  ) ;
以塔301顶温度调节在过去1小时数据的平均值为基准，最近25分钟里有多少条数据超过了这个均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC303.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' 0 : 25 ' ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TIC303.PV' and t_rt_data.Result_time > addtime ( now ( ) , ' - 1 : 0 ' )  ) ;
以R201入口温度在过去60小时数据的平均值为基准，最近26分钟里有多少条数据超过了这个均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_20102' and t_rt_data.Result_time > addtime ( now ( ) , ' 0 : 26 ' ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_20102' and t_rt_data.Result_time > addtime ( now ( ) , ' - 60 : 0 ' )  ) ;
以3.5MPa蒸汽温度在过去30小时数据的平均值为基准，最近19分钟里有多少条数据超过了这个均值？	select count ( * ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_40102' and t_rt_data.Result_time > addtime ( now ( ) , ' 0 : 19 ' ) and t_rt_data.Result_value > ( select avg ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TI_40102' and t_rt_data.Result_time > addtime ( now ( ) , ' - 30 : 0 ' )  ) ;
最近1条F204炉出口温度的数据超过它昨天的最大值了吗？	select ( select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TIC_20107' order by t_rt_data.Id desc limit 1 ) > ( select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211TIC_20107' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) ;
最近1条V101液位的数据超过它昨天的最大值了吗？	select ( select t_rt_data.Result_value from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211LIC_10102' order by t_rt_data.Id desc limit 1 ) > ( select max ( t_rt_data.Result_value ) from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211LIC_10102' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) ;
最近7条回炼油至反应流量的数据有哪些不到它昨天的最小值的？	select * from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_FC205.PV' and t_rt_data.Result_value < ( select min ( t_rt_data.Result_value ) where t_rt_data.Tag_code = '3B2CHLH_0202B_FC205.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) order by t_rt_data.Id desc limit 7 ;
最近4条V303入口流量的数据有哪些不到它昨天的最小值的？	select * from t_rt_data where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_30803' and t_rt_data.Result_value < ( select min ( t_rt_data.Result_value ) where t_rt_data.Tag_code = '2B2LXCZ_0211FIC_30803' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) order by t_rt_data.Id desc limit 4 ;
最近1条外取热器中部温度指示的数据有哪些不到它昨天的最小值的？	select * from t_rt_data where t_rt_data.Tag_code = '3B2CHLH_0202B_TIN102.PV' and t_rt_data.Result_value < ( select min ( t_rt_data.Result_value ) where t_rt_data.Tag_code = '3B2CHLH_0202B_TIN102.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) order by t_rt_data.Id desc limit 1 ;
最近100条吸收塔进塔402温度的数据有哪些不到它昨天的最小值的？	select * from t_rt_data where t_rt_data.Tag_code = '3B1CHLH_TI408.PV' and t_rt_data.Result_value < ( select min ( t_rt_data.Result_value ) where t_rt_data.Tag_code = '3B1CHLH_TI408.PV' and date ( t_rt_data.Result_time ) = adddate ( curdate ( ) , - 1 )  ) order by t_rt_data.Id desc limit 100 ;
